datasets,sampleId,labels,RSAD2,BATF2,NCF1,ETV7,IFIT3,CD274,SGK1,IFIT1,IFI44L,SIGLEC1,WARS1,CTSS,PSAP,SAT1,SRGN,ANKRD22,ACTB,IFI27,CALHM6,GBP5,FCGR1A,UBC,ATF3
GSE111368,GSM3029579,Viral,8.608743342,5.876277392,11.36539338,4.763792091,9.695106945,4.954395633,9.469768565,10.55382459,9.102969016,4.648119283,8.947989391,9.829380608,12.81361054,12.90186482,13.56512012,8.00461466,13.5239563,10.49698464,6.410969069,9.448306844,9.388275054,13.68926565,5.139894148
GSE111368,GSM3029580,Viral,10.25056677,6.049597174,11.83525142,4.42021358,11.76435909,3.542282494,10.32271912,12.39545009,11.54553271,4.941033066,10.30215486,8.993456159,12.617122,12.69959685,13.11495522,6.007830999,13.58711567,12.39094894,5.548904236,7.787145336,6.740942792,13.81263253,4.96276165
GSE111368,GSM3029581,Control,5.773431773,4.077716372,10.03231854,4.188341134,6.905953569,3.702482742,9.861800223,7.598082576,6.238281917,4.587516576,9.530645012,8.985165567,12.08032674,11.29401718,12.76371115,5.164268017,13.20226152,7.986347645,6.090454287,8.339748441,6.299285281,13.25006647,5.025259894
GSE111368,GSM3029582,Control,6.439909673,4.90185567,11.10240688,3.968696877,9.044012651,4.888703389,10.16238671,8.657683265,7.224553959,3.865160202,9.395653568,9.319243868,12.45709819,11.81802511,13.65610748,6.480307757,13.62706691,5.882867518,6.420556907,9.375301322,8.327837958,13.76455216,5.46652092
GSE111368,GSM3029583,Viral,5.727344716,4.726670757,11.15276358,4.865687312,7.448173659,4.222141745,9.641210721,8.102815102,6.346896145,3.825663245,9.175246748,9.309948362,12.41305706,12.42620558,13.39139622,6.439909673,13.54365162,6.465412392,6.302707816,7.375953637,7.319981756,13.42099596,4.374980745
GSE111368,GSM3029584,Control,6.911165879,5.038504476,9.993297547,4.994416273,9.811499645,4.05434003,10.48329869,9.805457891,8.218165916,4.343267916,8.670978035,9.897384014,12.30712595,12.07649078,13.03265707,6.423445769,13.44487029,9.508194862,6.206020098,9.714171111,6.859619302,13.70495236,4.981547891
GSE111368,GSM3029585,Viral,6.073721865,5.380428363,10.76096305,4.445411365,8.518683595,4.433149238,9.876483601,8.301351152,7.097497211,3.95485703,9.192205734,9.454074087,13.02333196,12.81784714,13.30862492,6.99246522,13.60132768,6.899585612,6.926276727,8.701173482,9.366715146,13.76455216,5.255588845
GSE111368,GSM3029586,Control,6.113755112,4.765059724,10.28943494,4.642501028,8.16990416,4.320534203,10.47813887,8.761896787,7.294402223,3.988033924,8.950256111,9.813841688,12.05825522,11.70086608,12.87376319,5.676536299,13.61658018,5.471168673,6.037834341,8.461513392,6.641278462,13.40795084,4.712453243
GSE111368,GSM3029587,Control,7.016724758,4.734402034,10.70742398,4.229723707,9.499466914,4.394008026,9.977516909,10.07168469,8.115259409,4.222765363,8.586508527,10.0039353,12.23334653,12.12710695,13.75328431,5.548159606,13.64990252,6.037693207,7.046709836,9.255221027,7.549516694,13.68176189,4.718080392
GSE111368,GSM3029588,Viral,7.165536423,4.962388889,10.50743566,4.584527463,9.300440313,4.277618295,9.777440553,8.691608225,7.452930205,3.991116104,10.15376258,9.812615969,12.21232605,11.47815219,12.55002554,5.982283849,13.69707529,9.048062666,7.206271965,9.961759234,7.334732672,13.2408915,4.994380417
GSE111368,GSM3029589,Viral,6.472161174,4.938352419,10.42091417,4.870476005,8.140362627,4.567469836,9.876483601,7.741905223,7.09421283,4.283791498,9.572517755,10.11675287,12.19558318,11.52480294,12.15124471,5.148661024,13.60132768,7.174266518,6.258511428,8.368994988,6.990724172,13.6065084,4.718635274
GSE111368,GSM3029590,Viral,5.989978739,5.819246712,11.17253108,4.586183897,9.303193969,4.092129871,8.885042533,8.359320403,6.069565481,3.945270961,8.409928257,9.225673293,12.24978084,12.92503122,13.66873227,6.660424548,13.61658018,5.668363206,7.351165604,9.438640979,9.163354167,13.83484312,4.746650476
